fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,volatilidad,tasa_variacion,media_movil_7d,retorno_acumulado,desviacion_total
2007-08-31,29.15,29.15,28.0,28.12,27.25,69.1,0.5161879502661642,-0.02191304347826084,29.214285714285715,-0.013333333333333752,233.03236943430136
2007-09-04,28.01,29.0,27.28,28.0,27.13,135.5,0.5553827509024579,-0.004267425320056972,28.928571428571427,-0.017543859649123306,233.03236943430136
2007-09-05,27.38,28.91,27.0,28.51,27.63,198.8,0.5331697665846981,0.01821428571428574,28.715714285714284,0.0003508771929818799,233.03236943430136
2007-09-06,28.86,32.25,28.76,29.93,29.0,179.3,0.7698506348636611,0.0498070852332515,28.791428571428572,0.05017543859649054,233.03236943430136
2007-09-07,30.68,31.7,29.25,29.5,28.59,74.9,0.859168202391116,-0.014366855997327121,28.87714285714286,0.035087719298244835,233.03236943430136
2007-09-10,29.75,30.66,29.07,29.3,28.39,118.0,0.7799807689936863,-0.006779661016949157,28.872857142857146,0.02807017543859569,233.03236943430136
2007-09-11,29.67,29.75,28.83,29.08,28.18,106.1,0.5250999904779882,-0.007508532423208258,28.919999999999998,0.020350877192981676,233.03236943430136
2007-09-12,28.87,29.76,28.28,29.17,28.27,76.5,0.337683283566101,0.0030949105914719333,29.07,0.023508771929823924,233.03236943430136
2007-09-13,29.2,29.44,28.94,29.0,28.1,22.7,0.19672315572902083,-0.005827905382242093,29.212857142857143,0.017543859649122195,233.03236943430136
2007-09-14,28.61,29.76,28.04,28.5,27.62,117.2,0.3061045573002556,-0.017241379310344862,29.211428571428574,-6.661338147750939e-16,233.03236943430136
2007-09-17,28.25,28.41,27.61,27.75,26.89,71.9,0.591142960712538,-0.02631578947368418,28.900000000000002,-0.026315789473684847,233.03236943430136
2007-09-18,27.75,29.16,27.47,28.0,27.13,167.8,0.6144346995409569,0.009009009009008917,28.685714285714287,-0.017543859649123528,233.03236943430136
2007-09-19,30.1,33.74,30.05,33.28,32.25,697.2,2.2728132347379506,0.1885714285714286,29.25428571428571,0.16771929824561327,233.03236943430136
2007-09-20,33.49,38.35,32.99,37.06,35.91,505.1,4.114027224022709,0.11358173076923084,30.39428571428571,0.3003508771929817,233.03236943430136
2007-09-21,36.52,40.67,35.63,40.52,39.26,324.0,5.593667848558762,0.09336211548839723,32.01571428571428,0.42175438596491155,233.03236943430136
2007-09-24,38.27,41.3,38.26,41.06,39.79,312.3,5.444141805647607,0.013326752221125338,33.73857142857143,0.44070175438596415,233.03236943430136
2007-09-25,38.72,39.99,37.07,38.2,37.02,262.1,3.1190190765687826,-0.06965416463711638,35.12428571428572,0.34035087719298174,233.03236943430136
2007-09-26,38.0,38.12,36.5,38.08,36.9,326.7,1.7177543479787738,-0.003141361256544628,36.6,0.3361403508771921,233.03236943430136
2007-09-27,38.5,39.92,35.76,36.92,35.78,380.4,1.7576347743487506,-0.03046218487394947,37.87428571428571,0.2954385964912274,233.03236943430136
2007-09-28,36.23,38.0,35.37,36.26,35.14,,1.8405107986643252,-0.017876489707475685,38.300000000000004,0.2722807017543851,233.03236943430136
2007-10-01,36.63,39.24,35.56,36.71,35.57,227.7,0.8617888372449504,0.012410369553226719,38.25,0.2880701754385957,233.03236943430136
2007-10-02,37.63,40.0,37.24,39.4,38.18,304.2,1.2689680847050486,0.07327703622991,38.089999999999996,0.38245614035087616,233.03236943430136
2007-10-03,39.16,42.79,38.57,42.12,40.81,383.0,2.469558665024985,0.06903553299492393,38.24142857142857,0.47789473684210426,233.03236943430136
2007-10-04,42.71,43.75,40.2,41.27,39.99,216.7,2.6307546445839427,-0.020180436847103356,38.68,0.44807017543859584,233.03236943430136
2007-10-05,42.25,43.22,40.0,41.11,39.84,745.2,2.1476196125012414,-0.0038769081657379356,39.112857142857145,0.44245614035087644,233.03236943430136
2007-10-08,40.86,41.34,39.36,41.02,39.75,102.6,0.9872335083454082,-0.002189248358063667,39.69857142857143,0.4392982456140344,233.03236943430136
2007-10-09,40.97,45.43,40.66,45.38,43.97,405.2,1.841344617392405,0.10628961482203803,41.00142857142857,0.5922807017543852,233.03236943430136
2007-10-10,45.57,45.57,43.9,44.94,43.55,234.3,2.212787834384485,-0.009695901278096164,42.17714285714286,0.5768421052631569,233.03236943430136
2007-10-11,45.12,45.49,40.4,41.21,39.93,331.0,2.2229192517948064,-0.0829995549621717,42.43571428571429,0.445964912280701,233.03236943430136
2007-10-12,41.0,42.64,40.1,40.46,39.21,178.3,2.356484670011665,-0.018199466148992927,42.19857142857143,0.41964912280701694,233.03236943430136
2007-10-15,41.35,42.14,37.0,38.44,37.25,234.2,2.9874872384664655,-0.049925852694018835,41.794285714285714,0.34877192982456084,233.03236943430136
2007-10-16,38.05,38.65,35.46,36.93,35.79,237.5,3.047692569797677,-0.039281997918834466,41.19714285714286,0.29578947368421016,233.03236943430136
2007-10-17,37.82,39.5,37.19,38.58,37.38,203.6,1.711265613515317,0.04467912266450047,40.848571428571425,0.3536842105263154,233.03236943430136
2007-10-18,38.21,41.0,37.23,39.84,38.6,188.8,1.369269878438853,0.03265940902021791,40.057142857142864,0.3978947368421051,233.03236943430136
